ADPEname,Latitude,Longitude,ADPEcount
Port Charcot,-65.067,-64.026,11
Port Martin,-66.8113,141.3997,37994
Possession Island,-71.8946,171.1692,168583
Powell Island South Coast (incl. Michelsen Island),-60.725,-45.029,24560
Proclamation Island,-65.8424,53.6876,9277
Rauer Islands,-68.8331,77.6765,115034
Red Island,-63.7356,-57.88,1002
Red Rock Ridge,-68.2919,-67.1842,5441
Retour Island,-66.767,141.5669,14694
Rhyolite Island,-69.6488,-68.5709,36
Robinson,-67.4543,63.4596,609
Robinson NW,-67.4489,63.413,111
Robinson SE,-67.4749,63.4956,800
Rookery Islands,-67.6044,62.5099,43989
Rumpa Island,-69.1441,39.3905,1500
Sabrina/Chinstrap Islands,-66.9171,163.3117,228
Saunders Island,-57.75,-26.45,83303
Saxum Nunatak,-63.141,-56.045,150
Scullin/Murray,-67.7833,66.6968,54499
SE Fisher Bay,-67.5949,146.0809,9
Sentry Rocks,-70.7543,167.4046,344
Sheelagh Islands,-66.5464,50.1804,7587
Shepard Island,-74.3773,-132.5519,28934
Sheppard Nunatak,-63.3629,-57.0154,1523
Sheppard Point,-63.3707,-56.9844,3182
Shingle Cove (Coronation Is),-60.6494,-45.5686,2508
Shirley/Beall,-66.283,110.5,13658
Sims Island,-73.2725,-78.5407,14784
Smiggers Island,-65.4597,-65.3494,452
South of Martin Islands,-65.6856,-65.338,477
South Svenner,-69.1341,76.7442,462
Spindrift Rocks,-60.683,-45.644,1034
Stanton Continental Rock,-67.5342,61.7175,3227
Stanton Unnamed,-67.5078,61.5978,801
Steines Island,-69.3412,76.5825,434
Stene Point,-60.654,-45.707,1500
Stranger Point,-62.2601,-58.6177,5043
Sturge Island,-67.467,164.633,10
Sven Foyn Island,-71.956,171.0695,29270
Svenner Island,-69.0341,76.8346,2213
Tay Head (Joinville Is),-63.351,-55.554,4156
Tenmondai Rock,-68.4445,41.701,86
Terra Nova Bay,-74.7682,164.0194,12692
The Wallows,-60.6919,-45.6048,764
Thorgaut,-67.4425,63.5433,917
Three Sisters,-62.0738,-57.914,438
Thule Island,-59.467,-27.25,10000
Torgersen Island,-64.7721,-64.0749,1157
Torinosu Cove,-69.4833,39.5667,0
Trundle Island,-65.401,-65.302,347
Turret Point (King George Is),-62.083,-57.95,170
Two islets next to Winkle Island,-65.52,-65.686,32
Tyrne/Long Peninsula,-68.3809,78.4125,13789
Ufs Island,-67.4694,61.1406,1942
Unger Island,-70.6811,166.919,305
Unnamed 7,-67.4475,63.3336,5669
Unnamed Island PE 2 North,-68.9013,77.7162,6893
